"","teams_d","ScoreDiff","RoundPoints","LevRoundPts","favWin","score_dxLRPts","score_dxRPts","seed_d","ws.40_d","aBPM_d","TS_d","TOV_d","StlBlk_d","OR_d","PER_d","depth_d"
"219","texas-tech utah-state 2021",12,1,1,1,12,12,NA,-0.165319435638001,1.61131270745204,-4.86391210672911,0.862475766540491,0.561974579434114,0.0328963644906276,0.0831420528982715,0
"220","arkansas colgate 2021",17,1,1,1,17,17,NA,-1.88568716920768,-0.606106576127785,-5.44367420405825,-1.696243719129,2.65498921411306,0.129283878918451,-0.369361518756805,3
"221","florida virginia-tech 2021",5,1,1,1,5,5,NA,-0.390875883234404,0.189758731792788,-5.07343506261125,-1.29131404717984,3.540204718572,0.0551078431298485,0.013850028685135,0
"222","ohio-state oral-roberts 2021",-3,1,1,0,-3,-3,NA,0.142192648829021,5.96019924438181,-5.33796862637979,0.305324117268325,-0.751294249469024,0.134841322634556,0.0535633843228858,2
"223","illinois drexel 2021",29,1,1,1,29,29,NA,1.48357994025462,7.07884824921984,-5.22941154550458,0.0900526203149825,0.713513881735524,0.108927122424603,0.160524911921097,1
"224","loyola-il georgia-tech 2021",11,1,1,1,11,11,NA,3.31342580451622,1.1303580003115,-5.10936974684212,-0.39187306912667,-0.773519933033379,0.21644607896632,0.243407680476266,2
"225","tennessee oregon-state 2021",-14,1,1,0,-14,-14,NA,1.67423539093102,3.27398147429262,-4.89793848688715,-0.578772453670453,2.51657722820762,-0.0582059607563982,0.0831560987873839,-2
"226","oklahoma-state liberty 2021",9,1,1,1,9,9,NA,-2.99024964198673,2.37566005856275,-5.54629515277667,-2.44953502829172,3.59102493300619,0.101014931159051,-0.3071703472451,1
"227","san-diego-state syracuse 2021",-16,1,1,0,-16,-16,NA,1.75584105675539,-0.169000172698203,-4.94112247577785,-0.417568393566277,-1.79294238595293,0.0115900455229232,-0.118249213044833,4
"228","west-virginia morehead-state 2021",17,1,1,1,17,17,NA,-0.0653883833970132,4.98705516169937,-5.01492300586811,2.4112776223077,-0.742714241646269,0.00716371054286302,0.171340473288632,0
"229","clemson rutgers 2021",-4,1,1,0,-4,-4,NA,0.467327384986927,-0.406195623234493,-4.7652041233435,-1.48577708139285,-3.2332359529376,-0.0529093128294112,-0.17137587161955,1
"230","houston cleveland-state 2021",31,1,1,1,31,31,NA,4.39853995639377,7.70262895231774,-4.80979091919227,0.919920127848179,4.12088435138991,0.185511699182704,0.414843506033563,0
"231","gonzaga oklahoma 2021",16,2,1.5,1,24,32,NA,3.71804051351185,4.16968287719966,-4.82240937507402,-0.19708610607509,-0.905148551862574,-0.00431539878049625,0.509860916507851,0
"232","creighton ohio 2021",14,2,1.5,1,21,28,NA,-0.147420897377575,2.52915172845902,-5.38825460949672,0.0118233880506367,1.61423499981483,-0.0680648540046727,-0.155679080800682,1
"233","kansas southern-california 2021",-34,2,1.5,0,-51,-68,NA,-0.383329789184644,-0.0961542966149622,-4.9365969874874,-0.02114051783186,1.49638475675328,-0.119558029235869,-0.0788817834786453,-2
